Object,Type,Member,Chrome,Firefox,Edge,IE,Opera,Safari,Android,Chrome/Android,Firefox Mobile,IE Mobile,Opera Mobile,Safari Mobile
Array,prototype,concat(),1,1,YES,5.5,YES,YES,YES,YES,YES,YES,YES,YES
Array,prototype,copyWithin(),,,,,,,,,,,,
Array,prototype,entries(),,,,,,,,,,,,
Array,prototype,every(),,,,,,,,,,,,
Array,prototype,fill(),,,,,,,,,,,,
Array,prototype,filter(),,,,,,,,,,,,
Array,prototype,find(),45,25,12,NO,32.0,7.1,NO,NO,25,NO,NO,8.0
Array,prototype,findIndex(),45,25,YES,NO,YES,7.1,NO,NO,25,NO,NO,8.0
Array,prototype,forEach(),,,,,,,,,,,,
Array,prototype,includes(),,,,,,,,,,,,
Array,prototype,indexOf(),YES,1.5,YES,9.0,YES,YES,YES,YES,1.0,YES,YES,YES
Array,prototype,join(),,,,,,,,,,,,
Array,prototype,keys(),,,,,,,,,,,,
Array,prototype,lastIndexOf(),YES,YES,YES,9.0,YES,YES,YES,YES,YES,YES,YES,YES
Array,prototype,length,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
Array,prototype,map(),,,,,,,,,,,,
Array,prototype,pop(),,,,,,,,,,,,
Array,prototype,push(),,,,,,,,,,,,
Array,prototype,reduce(),,,,,,,,,,,,
Array,prototype,reduceRight(),,,,,,,,,,,,
Array,prototype,reverse(),,,,,,,,,,,,
Array,prototype,shift(),,,,,,,,,,,,
Array,prototype,slice(),,,,,,,,,,,,
Array,prototype,some(),,,,,,,,,,,,
Array,prototype,sort(),,,,,,,,,,,,
Array,prototype,splice(),,,,,,,,,,,,
Array,prototype,toLocaleString(),,,,,,,,,,,,
Array,prototype,toSource(),,,,,,,,,,,,
Array,prototype,toString(),,,,,,,,,,,,
Array,prototype,unshift(),,,,,,,,,,,,
Array,prototype,values(),,,,,,,,,,,,
Array,static,from(),45,32,YES,NO,YES,9.0,NO,YES,32,NO,YES,YES
Array,static,isArray(),5,4.0,,9.0,10.5,5.0,YES,YES,4,YES,YES,YES
Array,static,of(),45,25.0,YES,NO,N/A,9.0,NO,39,25,NO,NO,NO
